,issue_key,author_key,status,start_date,end_date,calendar_duration,working_duration,task_cost
0,PYTHON-109,mike,Open,2010-03-05 18:51:36,2010-03-10 12:13:11,408095.0,0.0,0.0
1,PYTHON-108,mike,Open,2010-03-05 14:28:32,2010-08-19 15:58:33,14434201.0,0.0,0.0
2,PYTHON-107,mike,Open,2010-03-01 04:07:10,2010-03-02 12:08:58,115308.0,0.0,0.0
3,PYTHON-106,mike,Open,2010-02-28 19:54:09,2010-05-10 17:41:21,6126432.0,0.0,0.0
4,PYTHON-105,mike,Open,2010-02-19 22:54:44,2010-02-22 15:45:32,233448.0,0.0,0.0
5,PYTHON-103,mike,Open,2010-02-17 11:26:04,2010-04-05 17:37:34,4083090.0,0.0,0.0
6,PYTHON-102,mike,Open,2010-02-15 20:10:58,2010-02-16 10:24:07,51189.0,0.0,0.0
7,PYTHON-101,mike,Open,2010-02-15 08:04:43,2010-04-05 17:37:21,4267958.0,0.0,0.0
8,PYTHON-3052,JIRAUSER1263701,Needs Triage,2021-12-22 17:04:43,2021-12-22 17:05:11,28.0,0.0,0.0
9,PYTHON-3052,JIRAUSER1263701,Investigating,2021-12-22 17:04:43,2021-12-23 16:55:35,85852.0,0.0,0.0
10,PYTHON-3052,shane.harvey,In Code Review,2021-12-22 17:04:43,2021-12-23 21:04:19,100776.0,0.0,0.0
11,PYTHON-3050,JIRAUSER1263701,Needs Triage,2021-12-16 11:48:52,2021-12-16 11:51:27,155.0,0.0,0.0
12,PYTHON-3050,JIRAUSER1263701,Investigating,2021-12-16 11:48:52,2021-12-16 20:47:28,32316.0,0.0,0.0
13,PYTHON-3050,JIRAUSER1263701,In Code Review,2021-12-16 11:48:52,2021-12-17 18:48:59,111607.0,0.0,0.0
14,PYTHON-3049,behackett,Needs Triage,2021-12-14 21:53:57,2021-12-14 22:11:03,1026.0,0.0,0.0
15,PYTHON-3049,dbeng-pm-bot,Waiting (Blocked),2021-12-14 21:53:57,2021-12-15 17:05:35,69098.0,0.0,0.0
16,PYTHON-3049,behackett,Needs Triage,2021-12-14 21:53:57,2021-12-17 17:56:32,244955.0,0.0,0.0
17,PYTHON-3049,behackett,In Progress,2021-12-14 21:53:57,2021-12-17 18:01:11,245234.0,100871.0,56.03944444444444
18,PYTHON-3049,behackett,In Code Review,2021-12-14 21:53:57,2021-12-17 20:22:11,253694.0,0.0,0.0
19,PYTHON-3048,alexander.golin,Needs Triage,2021-12-14 01:51:33,2021-12-17 21:50:47,331154.0,0.0,0.0
20,PYTHON-3047,alexander.golin,Needs Triage,2021-12-13 21:46:52,2021-12-14 21:35:15,85703.0,0.0,0.0
21,PYTHON-3047,JIRAUSER1263701,In Code Review,2021-12-13 21:46:52,2021-12-16 20:03:03,252971.0,0.0,0.0
22,PYTHON-3046,alexander.golin,Needs Triage,2021-12-13 21:28:05,2021-12-17 21:54:47,347202.0,0.0,0.0
23,PYTHON-3046,alexander.golin,Open,2021-12-13 21:28:05,2021-12-17 21:56:02,347277.0,0.0,0.0
24,PYTHON-3045,JIRAUSER1263701,Needs Triage,2021-12-13 21:05:51,2021-12-13 22:18:52,4381.0,0.0,0.0
25,PYTHON-3044,shane.harvey,Needs Triage,2021-12-13 20:56:47,2021-12-13 21:16:46,1199.0,0.0,0.0
26,PYTHON-3043,behackett,Needs Triage,2021-12-13 16:32:56,2021-12-15 17:50:04,177428.0,0.0,0.0
27,PYTHON-3042,behackett,Needs Triage,2021-12-13 16:16:23,2021-12-14 22:15:34,107951.0,0.0,0.0
28,PYTHON-3042,behackett,Scheduled,2021-12-13 16:16:23,2021-12-14 22:24:46,108503.0,0.0,0.0
29,PYTHON-3042,behackett,In Progress,2021-12-13 16:16:23,2021-12-14 22:56:05,110382.0,48046.0,26.692222222222224
30,PYTHON-3042,behackett,In Code Review,2021-12-13 16:16:23,2021-12-14 23:12:17,111354.0,0.0,0.0
31,PYTHON-3041,alexander.golin,Needs Triage,2021-12-13 10:59:36,2021-12-17 21:54:03,384867.0,0.0,0.0
32,PYTHON-3040,dbeng-pm-bot,Needs Triage,2021-12-10 19:06:48,2021-12-10 19:06:54,6.0,0.0,0.0
33,PYTHON-3040,dbeng-pm-bot,Waiting (Blocked),2021-12-10 19:06:48,2021-12-13 17:03:34,251806.0,0.0,0.0
34,PYTHON-3040,shane.harvey,Needs Triage,2021-12-10 19:06:48,2021-12-14 23:30:58,361450.0,0.0,0.0
35,PYTHON-3039,alexander.golin,Needs Triage,2021-12-10 04:17:39,2021-12-17 21:37:22,667183.0,0.0,0.0
36,PYTHON-3038,alexander.golin,Needs Triage,2021-12-09 01:28:40,2021-12-17 21:47:02,764302.0,0.0,0.0
37,PYTHON-3036,alexander.golin,Needs Triage,2021-12-06 18:50:37,2021-12-17 21:38:15,960458.0,0.0,0.0
38,PYTHON-3035,shane.harvey,Needs Triage,2021-12-06 11:05:35,2021-12-06 19:23:43,29888.0,0.0,0.0
39,PYTHON-3035,dbeng-pm-bot,Waiting for Reporter,2021-12-06 11:05:35,2021-12-07 09:48:00,81745.0,0.0,0.0
40,PYTHON-3035,shane.harvey,Investigating,2021-12-06 11:05:35,2021-12-20 18:07:13,1234898.0,0.0,0.0
41,PYTHON-3035,dbeng-pm-bot,Waiting for Reporter,2021-12-06 11:05:35,2022-01-04 12:00:16,2508881.0,0.0,0.0
42,PYTHON-3034,alexander.golin,Needs Triage,2021-12-03 21:18:26,2021-12-03 21:41:25,1379.0,0.0,0.0
43,PYTHON-3034,alexander.golin,Scheduled,2021-12-03 21:18:26,2021-12-03 21:41:32,1386.0,0.0,0.0
44,PYTHON-3034,JIRAUSER1253561,In Progress,2021-12-03 21:18:26,2021-12-03 22:07:05,2919.0,0.0,0.0
45,PYTHON-3034,JIRAUSER1253561,In Code Review,2021-12-03 21:18:26,2021-12-06 21:14:53,258987.0,0.0,0.0
46,PYTHON-3033,alexander.golin,Needs Triage,2021-12-03 12:56:55,2021-12-03 21:38:05,31270.0,0.0,0.0
47,PYTHON-3033,shane.harvey,Scheduled,2021-12-03 12:56:55,2021-12-06 18:40:27,279812.0,0.0,0.0
48,PYTHON-3033,shane.harvey,In Progress,2021-12-03 12:56:55,2021-12-06 18:41:35,279880.0,5668.0,3.148888888888889
49,PYTHON-3033,shane.harvey,In Code Review,2021-12-03 12:56:55,2021-12-06 19:39:34,283359.0,0.0,0.0
50,PYTHON-3032,alexander.golin,Needs Triage,2021-12-02 18:47:28,2021-12-03 21:37:37,96609.0,0.0,0.0
51,PYTHON-3032,JIRAUSER1263701,Scheduled,2021-12-02 18:47:28,2021-12-08 18:25:19,517071.0,0.0,0.0
52,PYTHON-3032,JIRAUSER1263701,In Code Review,2021-12-02 18:47:28,2021-12-08 22:30:42,531794.0,0.0,0.0
53,PYTHON-3031,alexander.golin,Needs Triage,2021-12-01 22:14:02,2021-12-03 21:35:41,170499.0,0.0,0.0
54,PYTHON-3030,alexander.golin,Needs Triage,2021-12-01 20:57:33,2021-12-03 21:37:00,175167.0,0.0,0.0
55,PYTHON-3030,JIRAUSER1263701,Scheduled,2021-12-01 20:57:33,2021-12-09 18:39:14,682901.0,0.0,0.0
56,PYTHON-3030,JIRAUSER1263701,In Code Review,2021-12-01 20:57:33,2021-12-09 19:34:53,686240.0,0.0,0.0
57,PYTHON-3029,shane.harvey,Needs Triage,2021-12-01 08:19:43,2021-12-01 18:51:15,37892.0,0.0,0.0
58,PYTHON-3028,shane.harvey,Needs Triage,2021-11-30 23:59:59,2021-12-02 22:16:50,166611.0,0.0,0.0
59,PYTHON-3028,JIRAUSER1253561,Scheduled,2021-11-30 23:59:59,2021-12-06 21:14:18,508459.0,0.0,0.0
60,PYTHON-3027,shane.harvey,Needs Triage,2021-11-30 23:53:41,2021-11-30 23:56:00,139.0,0.0,0.0
61,PYTHON-3027,shane.harvey,Investigating,2021-11-30 23:53:41,2021-12-01 22:52:19,82718.0,0.0,0.0
62,PYTHON-3027,shane.harvey,In Progress,2021-11-30 23:53:41,2021-12-02 20:59:26,162345.0,7200.0,4.0
63,PYTHON-3027,shane.harvey,In Code Review,2021-11-30 23:53:41,2021-12-02 21:47:35,165234.0,0.0,0.0
64,PYTHON-3026,alexander.golin,Needs Triage,2021-11-30 22:19:04,2021-12-03 21:33:49,256485.0,0.0,0.0
65,PYTHON-3026,shane.harvey,Scheduled,2021-11-30 22:19:04,2021-12-07 20:04:19,596715.0,0.0,0.0
66,PYTHON-3026,shane.harvey,In Progress,2021-11-30 22:19:04,2021-12-08 00:18:20,611956.0,24213.079365079364,13.451710758377425
